Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
,MOPSO-DPRT,0.091407123,1.552304983,0.612074389,1.552304983,1.552304983,1.552304983,0.095534194,1.552304983,0.075492509,1.552304983,1.304876358,0.068975973,1.552304983,0.087596024,0.073477403,1.552304983,0.068717454,1.552304983,0.087657333,0.078112185,1.552304983,1.552304983,0.07398321,0.604013486,0.053353646,1.552304983,1.552304983,1.552304983,1.552304983,1.552304983,0.940405034,0.707924878
,MOPSO-Von-Neumann,1.162340311,1.552304983,0.05382085,0.052935292,1.552304983,1.552304983,1.163016812,0.356586143,1.552304983,1.552304983,0.049580926,0.051759473,0.055986635,1.552304983,1.552304983,0.050282727,1.552304983,1.552304983,0.049089679,1.552304983,0.596128799,0.052143025,1.162279925,1.552304983,0.051313062,1.162180461,0.052006161,1.552304983,0.595944272,1.162301725,0.883578536,0.672495683
,MOPSO-IVT,0.892822247,0.319101866,1.682565495,1.66167414,0.206851244,0.241276448,0.26651392,0.273430213,0.522419477,0.43578103,0.35027024,1.550891427,1.476536988,1.569381671,1.688154729,2.466809986,0.671488451,1.571138362,0.4865899,1.657408599,0.412311065,0.294466461,0.864017734,0.422574961,1.811129777,1.697738345,0.285700744,0.606651533,1.566461097,0.711819806,0.955465932,0.658551261
,RT-MOPSO,0.59626973,0.061169587,0.059427675,0.058822785,0.058339583,0.066865168,0.058736252,0.059459126,0.06226038,0.057404513,0.070044797,0.057685441,0.06274396,0.058176637,0.05737818,0.064761506,0.060695262,0.596523396,0.063204528,0.055952796,0.054900181,0.059457997,0.063069189,0.066474742,0.068525257,0.060677361,0.063308863,0.061130555,0.062221508,0.061005695,0.096889755,0.135827782
,RL-MOPSO,0.059661098,0.047951029,0.062269212,0.054559766,0.060166869,0.058593213,0.059723231,0.054345831,0.063325783,0.061265105,0.055377348,0.060772529,0.056273638,0.06110601,0.046393822,0.060997056,0.058853823,0.055213723,0.059367317,0.059794786,0.054604988,0.052709865,0.05508752,0.059762209,0.054960275,0.064170182,0.064666972,0.061911918,0.060756323,0.059218352,0.05812866,0.004336716
WFG1,MOPSO-Gbest,2.013784979,2.074582552,2.077578729,1.977714475,1.829740252,1.825705296,2.201337732,1.933379371,2.100853397,1.839850751,2.167022449,2.111905575,1.855364295,1.881372432,3.20557578,1.988206581,1.851646442,1.964132235,1.829043079,1.888968124,1.801583223,2.090432537,1.828288496,2.125474592,2.070538833,2.132242746,2.103463671,1.835555766,1.780329599,1.99105485,2.012557628,0.258832449
,MOPSO-DPRT,1.826066552,1.675860611,1.631264873,1.539007056,1.690442008,1.73349211,1.726250364,1.802083591,1.782982452,1.632763053,1.71470056,1.72737862,1.80514944,1.576311322,1.806885177,1.838336898,1.690223257,2.027421071,1.696727296,1.692808025,1.8160281,1.747990488,1.775022956,1.919181855,1.650287731,2.22378137,1.530053686,1.712699482,1.70471622,1.710534219,1.746881681,0.137161671
,MOPSO-Von-Neumann,1.849817272,1.817792975,1.721556658,1.885758141,1.870207716,1.784363015,1.942616951,1.825111023,1.888054847,1.952772485,1.902120826,1.812337819,1.821347071,1.821938632,1.859312092,1.905303982,1.867423651,1.885410762,1.814459129,1.91407071,1.881931734,1.84926167,1.748611912,1.849113342,1.805791527,1.864075386,1.929066875,1.842585796,1.846760215,1.905154027,1.855470941,0.053326076
,MOPSO-IVT,1.928635176,1.859187058,1.954290356,1.98808278,1.910787855,1.90873598,1.918286891,1.914000098,1.941286999,1.957768691,1.915777006,2.046589323,1.832896419,1.850235905,1.996699872,1.976565081,1.948654377,1.905085868,1.901356957,1.907905975,1.867271723,1.894187544,1.959407823,1.885866948,1.907297448,1.969279707,2.128376743,1.874852857,2.011884962,1.878954069,1.931340283,0.061954892
,RT-MOPSO,1.782533217,1.638590659,1.744752104,1.694920919,1.74817806,1.788397499,1.756419655,1.797177684,1.652431311,1.639621294,1.670628593,1.73318053,1.738661072,1.800649524,1.85740617,1.800837938,1.756956573,1.730119866,1.703920307,1.812333542,1.662364018,1.766233884,1.782067418,1.814466798,1.885703446,1.657438276,1.726080224,1.608421045,1.702876471,1.71898373,1.739078394,0.067507609
