Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
WFG2,MOPSO-DPRT,0.887503126,0.901188256,0.908610525,0.90958638,0.908046198,0.892320514,0.907930637,0.892761603,0.90233317,0.905956053,0.882073104,0.91050879,0.894209359,0.911672306,0.893253329,0.911070889,0.885720538,0.889056097,0.908755473,0.908987068,0.910843315,0.904993291,0.910867209,0.904082372,0.913949451,0.911795537,0.903158179,0.896798117,0.90590836,0.893922681,0.902262064,0.009104498
WFG2,MOPSO-Von-Neumann,0.896046684,0.909328494,0.897124156,0.899698824,0.893837876,0.897648418,0.90043893,0.894419759,0.899952584,0.905473359,0.899649616,0.904649263,0.901944272,0.901539991,0.900450136,0.901545483,0.906121183,0.887056759,0.898888048,0.899538163,0.905502419,0.903194294,0.901480156,0.903602077,0.890464877,0.903192528,0.899231892,0.898730648,0.896502089,0.902920012,0.900005766,0.004669971
WFG2,MOPSO-IVT,0.900259422,0.894683848,0.880178179,0.878756723,0.883515516,0.891889514,0.881735732,0.889728326,0.868057822,0.893299473,0.889677518,0.87988027,0.892772209,0.887146677,0.898621195,0.874242472,0.894336069,0.881011996,0.887787484,0.902109367,0.889530108,0.892143495,0.884200928,0.894799204,0.893504425,0.87191747,0.879762612,0.892736406,0.886599918,0.893437469,0.887610728,0.008332814
WFG2,RT-MOPSO,0.896494045,0.894137864,0.891710309,0.888561259,0.895383658,0.893958244,0.890562143,0.888782557,0.882550911,0.885223768,0.881147785,0.879530759,0.893499513,0.887286219,0.87748768,0.882237605,0.891534482,0.886151871,0.880707223,0.880379305,0.898786778,0.891074985,0.88504989,0.882634247,0.883146335,0.892348806,0.889552339,0.890243467,0.891432224,0.885052633,0.887888297,0.005608266
WFG2,RLT-MOPSO,0.909027193,0.914093492,0.918635651,0.912151805,0.903664785,0.908615083,0.905785531,0.901149043,0.909549447,0.907336417,0.916634014,0.906918009,0.916829799,0.909291595,0.903417508,0.90844597,0.911893368,0.904109074,0.909618984,0.90833418,0.905457694,0.909952733,0.908117753,0.908464044,0.911266786,0.909969422,0.91600199,0.903391815,0.903610288,0.907778648,0.908983737,0.004365153
WFG3,MOPSO-Gbest,0.271861836,0.246847785,0.237094044,0.264989359,0.27081647,0.283088962,0.270353402,0.256005465,0.218688838,0.269450173,0.233114103,0.236319476,0.267127565,0.261837291,0.229344499,0.254374339,0.251108861,0.272014893,0.264211094,0.227006693,0.278086823,0.224502082,0.228005324,0.265677592,0.2437237,0.273916205,0.254963511,0.237405368,0.265814609,0.224154366,0.252730158,0.018975595
WFG3,MOPSO-DPRT,0.30952717,0.304784401,0.301005347,0.329734665,0.305817597,0.304380251,0.320710516,0.298179113,0.290451061,0.275350899,0.277212423,0.289908107,0.314933451,0.306924191,0.29948711,0.287709567,0.317050958,0.306839794,0.315533834,0.308288193,0.285508242,0.294291213,0.311272563,0.289739293,0.304521105,0.317247927,0.299223868,0.316630397,0.327743331,0.308176733,0.303939444,0.013537669
WFG3,MOPSO-Von-Neumann,0.337986786,0.335004925,0.33257596,0.328160893,0.328831978,0.330525161,0.339146679,0.326805751,0.318999718,0.323950308,0.323691452,0.29671412,0.323982403,0.352363282,0.315904169,0.343996721,0.324328711,0.333096059,0.330228942,0.336283591,0.329184357,0.317399265,0.318894014,0.31805997,0.329500398,0.330210143,0.300104,0.330559503,0.324744749,0.323861405,0.326836514,0.011136653
WFG3,MOPSO-IVT,0.314003596,0.313812754,0.324387507,0.319202384,0.336954497,0.323650576,0.315882411,0.348167755,0.311743072,0.31967517,0.322024383,0.337294543,0.329760357,0.333936585,0.33751767,0.331863049,0.326790431,0.300169685,0.322164421,0.34036272,0.337267085,0.333304064,0.326334537,0.324202803,0.335868121,0.325796893,0.334136712,0.317446545,0.309350299,0.327788666,0.326028643,0.010636611
WFG3,RT-MOPSO,0.329383931,0.314254625,0.334082809,0.322142766,0.331546722,0.300118677,0.304341003,0.32940286,0.320545366,0.335628047,0.30527844,0.299632572,0.313241425,0.298895688,0.301671124,0.299880763,0.313735736,0.311272284,0.304823915,0.313996238,0.32982976,0.317409003,0.318575431,0.314780047,0.309275167,0.315838105,0.321841835,0.288372484,0.296667077,0.311702697,0.313605553,0.012220831
WFG3,RLT-MOPSO,0.321413459,0.312512536,0.324778579,0.316070182,0.327059132,0.327628818,0.317938189,0.331967537,0.329008258,0.334616631,0.337684229,0.314996345,0.331624292,0.316659924,0.326743142,0.327132438,0.337752057,0.323762899,0.34029278,0.318341726,0.316770539,0.336096409,0.326160568,0.359917958,0.331564541,0.334646385,0.324709108,0.322045655,0.317826628,0.327560215,0.327176039,0.009761674
WFG4,MOPSO-Gbest,0.479828393,0.474664576,0.463177497,0.486522583,0.472764585,0.446105149,0.475594792,0.467309046,0.466829419,0.479997282,0.469347527,0.477089309,0.473864962,0.462615195,0.451515789,0.477845063,0.465964356,0.464045696,0.475654708,0.46733755,0.466298165,0.467462701,0.478869796,0.48180909,0.475147633,0.481437405,0.481943566,0.467477259,0.461139793,0.453245917,0.47043016,0.009608662
WFG4,MOPSO-DPRT,0.492744263,0.486638805,0.487867378,0.49213275,0.485543616,0.480181354,0.490277319,0.48441581,0.489005867,0.489811948,0.486362597,0.482419685,0.486320734,0.482716764,0.484867373,0.484548285,0.481801165,0.484229464,0.485324135,0.481878609,0.490037478,0.491271822,0.487397658,0.484782548,0.491139798,0.485203162,0.485270235,0.487484212,0.488069812,0.485782401,0.486517568,0.00324021
WFG4,MOPSO-Von-Neumann,0.490887456,0.485772938,0.483514105,0.484989475,0.479117345,0.485925784,0.48085527,0.482541537,0.482394263,0.477294285,0.480087232,0.477457556,0.483906942,0.482015668,0.482082219,0.481748724,0.480946373,0.478247867,0.48281027,0.480737483,0.482757486,0.478205514,0.481494236,0.483781732,0.480700985,0.485890162,0.48522952,0.476819049,0.483482423,0.477268446,0.481965412,0.003187034
WFG4,MOPSO-IVT,0.493805374,0.491271026,0.493006643,0.488030432,0.489352062,0.486128987,0.481328168,0.490008093,0.483634672,0.482277575,0.488322889,0.487354136,0.488411262,0.494011333,0.492351166,0.486072656,0.493393694,0.485545636,0.491273606,0.488078744,0.486440115,0.490028929,0.4861584,0.484930855,0.481868511,0.486644696,0.483586779,0.492532583,0.485562964,0.488161134,0.487985771,0.003644701
WFG4,RT-MOPSO,0.481943904,0.478595445,0.473749661,0.479779307,0.482184954,0.479265232,0.482696478,0.478833716,0.483264147,0.483881046,0.481118115,0.478412068,0.483799008,0.483558139,0.477214382,0.487317859,0.484259825,0.479174339,0.485123037,0.474857083,0.485291513,0.481290606,0.483605145,0.476271571,0.480319518,0.480656708,0.485444459,0.479903283,0.47701749,0.479397196,0.480940841,0.003309754
