Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
,PESAII,0.394000279,0.090884314,0.097830331,0.091122176,0.103438095,0.087717146,0.089483291,0.10268212,0.088869245,0.389859372,0.09737635,0.093954393,0.090270864,0.138582396,0.088259376,0.423090536,0.094034586,0.367436822,0.095416238,0.099613364,0.104704786,0.383099835,0.103228953,0.094423271,0.386730302,0.094033754,0.09602024,0.390820831,0.086774304,0.384439611,0.174939906,0.132406063
,RLT-MOPSO,0.059661098,0.047951029,0.062269212,0.054559766,0.060166869,0.058593213,0.059723231,0.054345831,0.063325783,0.061265105,0.055377348,0.060772529,0.056273638,0.06110601,0.046393822,0.060997056,0.058853823,0.055213723,0.059367317,0.059794786,0.054604988,0.052709865,0.05508752,0.059762209,0.054960275,0.064170182,0.064666972,0.061911918,0.060756323,0.059218352,0.05812866,0.004336716
WFG1,MOPSOCD,2.125037747,2.112827265,2.108259064,2.19001666,2.132195152,2.113808907,2.094727322,2.144207087,2.12369602,2.042145858,2.09882343,2.087725015,2.178447028,2.117664211,2.146675154,2.147855402,2.1457162,2.092244241,2.132901463,2.111645522,2.11195655,2.128624181,2.093170342,2.087223782,2.134549747,2.158387231,2.155425819,2.164916097,2.147053479,2.169415614,2.126578053,0.031860322
,SMPSO,1.545158701,1.526876031,1.541605298,1.557576575,1.579062986,1.542855012,1.501160485,1.583333754,1.504806131,1.579670208,1.55944089,1.562896173,1.604006559,1.545016508,1.493769611,1.54980882,1.586662205,1.543525808,1.559294045,1.481780257,1.543657631,1.580130836,1.56562049,1.586998128,1.539108571,1.590883572,1.552065116,1.588178359,1.520816329,1.591967997,1.553591103,0.03136285
,dMOPSO,1.553165124,1.53368939,1.553751253,1.502633155,1.550560436,1.562992704,1.542024615,1.530694278,1.551730475,1.545459383,1.541698531,1.524345665,1.543286028,1.518704171,1.522089254,1.548177028,1.533680604,1.491462182,1.537312689,1.516855982,1.54885518,1.52484565,1.536521578,1.53250583,1.486488107,1.502744242,1.521931106,1.552967643,1.538755848,1.528115842,1.532601466,0.018899525
,MOEADD,1.545259969,1.437823621,1.075597835,1.075235447,1.05776149,1.431815728,1.34277096,1.118498664,1.436875571,1.158267694,1.315477153,1.239100566,1.44343771,1.530463468,1.129849373,0.801727687,1.24397836,1.131546632,1.198774234,1.11646697,1.534507172,1.132761371,1.298346971,1.435309683,1.321935426,1.051884348,0.996120524,1.425175754,1.346327795,1.092835534,1.248864457,0.185502849
,RVEA,0.889004536,0.760301001,0.821389783,0.68185575,0.803846711,0.861535116,0.811856094,0.715739421,0.788762445,0.612409101,0.682012616,0.877918283,0.888306942,0.763707358,0.878000997,0.971020274,0.622292107,1.042406752,0.78554293,0.777195053,0.745048381,0.789134484,0.79665457,0.774063259,0.695614364,0.734592723,0.916288094,0.782545505,0.899036592,0.826542801,0.799820801,0.096332248
,PESAII,0.60013538,0.654348426,0.404461023,0.608617517,0.654905755,0.692887176,0.433138811,0.572646959,0.530694962,0.668038137,0.537639905,0.456328209,0.796607022,0.573659344,0.468763432,0.614369295,0.588978173,0.571633802,0.695491152,0.626977017,0.790681196,0.481747695,0.773512167,0.55174002,0.507397567,0.647237518,0.683150947,0.533628501,0.441902968,0.619605772,0.592697528,0.1036728
,RLT-MOPSO,1.702387427,1.596594517,1.889229654,1.749503332,1.67511777,1.806529889,1.850137811,1.738922308,1.678364063,1.734772405,1.704119197,1.758540501,1.632876352,1.716346253,1.54134263,1.692382332,1.681229577,1.673785455,1.719006282,1.70277702,1.719867686,1.70317798,1.713759214,1.633035852,1.658653975,1.756994785,1.655436375,1.663786345,1.685413046,1.656096328,1.703006212,0.068661164
WFG2,MOPSOCD,0.360516994,0.317126201,0.37475744,0.375299279,0.374515556,0.352508497,0.369131361,0.345695782,0.362374013,0.357903557,0.350391305,0.313794952,0.322139303,0.348874675,0.341249541,0.321887824,0.351799113,0.356114682,0.335921773,0.34208991,0.379310572,0.41712399,0.362025649,0.387557075,0.342229699,0.367005643,0.364699681,0.372963505,0.368419228,0.391489803,0.357563887,0.022943382
,SMPSO,0.288917194,0.265374101,0.290682624,0.237053049,0.286490675,0.276299379,0.291858243,0.264481225,0.272041143,0.258475409,0.29536194,0.287204543,0.267318105,0.251340812,0.24582463,0.266151424,0.279027813,0.285094499,0.280762723,0.25293435,0.278019936,0.276205661,0.278422817,0.287223286,0.260174096,0.284225691,0.279158633,0.274775944,0.234059092,0.250590932,0.271518332,0.016541446
,dMOPSO,0.399345623,0.383466078,0.392610508,0.373450192,0.376577059,0.331278575,0.421770425,0.429785303,0.435406431,0.375019907,0.436657323,0.372851165,0.380959627,0.415617157,0.375084868,0.374030163,0.429557398,0.426751466,0.393259453,0.361398721,0.360949152,0.360379012,0.408991443,0.428973314,0.437234873,0.430099984,0.410292887,0.398787715,0.411826606,0.402508551,0.397830699,0.028205193
,MOEADD,0.186365357,0.182037827,0.180861859,0.187656953,0.192392904,0.188722571,0.185647757,0.190339908,0.207296669,0.213428945,0.179321239,0.188677051,0.194029402,0.196312509,0.181666875,0.184544721,0.181812864,0.184416819,0.182693981,0.187910566,0.196700672,0.187624888,0.194508679,0.189023928,0.196408537,0.183560763,0.204907078,0.190731304,0.195793361,0.233911247,0.191643574,0.011333433
,RVEA,0.195680506,0.225765004,0.200399602,0.221584226,0.214965384,0.204559637,0.190921783,0.207249279,0.216712003,0.199066938,0.202179932,0.208897902,0.191691488,0.226198731,0.212927934,0.201090575,0.221502814,0.210897796,0.220743541,0.217719405,0.22241569,0.218083201,0.221061873,0.220064601,0.213909023,0.204175128,0.221223839,0.226732687,0.213104469,0.217594213,0.212303973,0.010393557
,PESAII,0.207583335,0.206046948,0.197066894,0.197629605,0.20074952,0.189850345,0.18958019,0.214878601,0.191247966,0.207489118,0.187968237,0.187960582,0.210341107,0.205382198,0.200230844,0.198104361,0.207675091,0.199309446,0.193225889,0.209666362,0.207727705,0.216175401,0.208404886,0.197182703,0.192730816,0.208617736,0.207250131,0.198172465,0.197591004,0.185943858,0.200726111,0.008454726
,RLT-MOPSO,0.148165215,0.128504158,0.123210085,0.154290417,0.161676318,0.136008377,0.144302527,0.140453987,0.145881995,0.13245805,0.15203198,0.138053842,0.118978699,0.171469957,0.134706411,0.137581691,0.124934854,0.144403024,0.151847941,0.140130453,0.143981436,0.146761978,0.139397169,0.139788565,0.142633925,0.143072224,0.123947481,0.146962799,0.137962744,0.138127136,0.141057515,0.01120496
WFG3,MOPSOCD,0.380344854,0.390480148,0.39700912,0.378223431,0.437012624,0.379812407,0.334300308,0.344082334,0.343605474,0.342791518,0.336800717,0.363989915,0.322105141,0.300578019,0.29737003,0.382003467,0.350288276,0.26101991,0.29888361,0.350024907,0.279690635,0.28700336,0.363105208,0.40174271,0.322627939,0.375425991,0.398178649,0.368722508,0.350323115,0.249722552,0.346242296,0.044634871
,SMPSO,0.212541018,0.168948194,0.157659194,0.217291711,0.22221958,0.198080869,0.233129165,0.194684035,0.263085512,0.155510429,0.173474953,0.264562909,0.198523828,0.150605127,0.182076082,0.220935057,0.222299964,0.218115298,0.230169232,0.21943507,0.168960215,0.186152884,0.239131173,0.230357711,0.220520049,0.319008218,0.224960391,0.206638611,0.181022111,0.259529354,0.211320931,0.037092888
